s_codigo_cf,fecha,hora,reg_val
em-ciep-01,191120,93233,15
em-ciep-01,191120,93241,15
em-ciep-01,191120,93249,15
em-ciep-01,191120,93257,14
em-ciep-01,191120,93305,13
em-ciep-01,191120,93313,13
em-ciep-01,191120,93321,14
em-ciep-01,191120,93329,16
em-ciep-01,191120,93337,17
em-ciep-01,191120,93345,17
em-ciep-01,191120,93353,16
em-ciep-01,191120,93401,16
em-ciep-01,191120,93409,15
em-ciep-01,191120,93417,14
em-ciep-01,191120,93425,14
em-ciep-01,191120,93433,14
em-ciep-01,191120,93441,15
em-ciep-01,191120,93449,16
em-ciep-01,191120,93457,16
em-ciep-01,191120,93505,14
em-ciep-01,191120,93512,17
em-ciep-01,191120,93520,16
em-ciep-01,191120,93528,16
em-ciep-01,191120,93536,17
em-ciep-01,191120,93544,16
em-ciep-01,191120,93552,16
em-ciep-01,191120,93600,19
em-ciep-01,191120,93608,19
em-ciep-01,191120,93616,19
em-ciep-01,191120,93624,19
em-ciep-01,191120,93632,16
em-ciep-01,191120,93640,14
em-ciep-01,191120,93648,16
em-ciep-01,191120,93656,15
em-ciep-01,191120,93704,15
em-ciep-01,191120,93712,14
em-ciep-01,191120,93720,14
em-ciep-01,191120,93728,16
em-ciep-01,191120,93736,17
em-ciep-01,191120,93744,18
em-ciep-01,191120,93753,14
em-ciep-01,191120,93801,17
em-ciep-01,191120,93809,14
em-ciep-01,191120,93817,14
em-ciep-01,191120,93825,15
em-ciep-01,191120,93833,17
em-ciep-01,191120,93841,17
em-ciep-01,191120,93849,16
em-ciep-01,191120,93857,16
em-ciep-01,191120,93905,13
em-ciep-01,191120,93913,13
em-ciep-01,191120,93921,13
em-ciep-01,191120,93929,15
em-ciep-01,191120,93937,14
em-ciep-01,191120,93945,15
em-ciep-01,191120,93953,14
em-ciep-01,191120,94001,14
em-ciep-01,191120,94009,14
em-ciep-01,191120,94017,14
em-ciep-01,191120,94025,14
em-ciep-01,191120,94032,17
em-ciep-01,191120,94040,16
em-ciep-01,191120,94048,16
em-ciep-01,191120,94056,15
em-ciep-01,191120,94104,14
em-ciep-01,191120,94112,15
em-ciep-01,191120,94120,17
em-ciep-01,191120,94128,18
em-ciep-01,191120,94136,18
em-ciep-01,191120,94144,18
em-ciep-01,191120,94152,16
em-ciep-01,191120,94200,16
em-ciep-01,191120,94208,16
em-ciep-01,191120,94216,14
em-ciep-01,191120,94224,16
em-ciep-01,191120,94232,16
em-ciep-01,191120,94240,15
em-ciep-01,191120,94248,16
em-ciep-01,191120,94256,17
em-ciep-01,191120,94304,17
em-ciep-01,191120,94313,15
em-ciep-01,191120,94321,15
em-ciep-01,191120,94329,13
em-ciep-01,191120,94337,13
em-ciep-01,191120,94345,13
em-ciep-01,191120,94353,13
em-ciep-01,191120,94401,14
em-ciep-01,191120,94409,15
em-ciep-01,191120,94417,14
em-ciep-01,191120,94425,15
em-ciep-01,191120,94433,15
em-ciep-01,191120,94441,14
em-ciep-01,191120,94449,14
em-ciep-01,191120,94457,14
em-ciep-01,191120,94505,14
em-ciep-01,191120,94513,14
em-ciep-01,191120,94521,13
em-ciep-01,191120,94529,13
em-ciep-01,191120,94537,15
em-ciep-01,191120,94545,15
em-ciep-01,191120,94552,17
em-ciep-01,191120,94600,16
em-ciep-01,191120,94608,17
em-ciep-01,191120,94616,18
em-ciep-01,191120,94624,18
em-ciep-01,191120,94632,17
em-ciep-01,191120,94640,17
em-ciep-01,191120,94648,15
em-ciep-01,191120,94656,16
em-ciep-01,191120,94704,15
em-ciep-01,191120,94712,16
em-ciep-01,191120,94720,15
em-ciep-01,191120,94728,17
em-ciep-01,191120,94736,16
em-ciep-01,191120,94744,16
em-ciep-01,191120,94752,16
em-ciep-01,191120,94800,17
em-ciep-01,191120,94808,17
em-ciep-01,191120,94816,17
em-ciep-01,191120,94824,17
em-ciep-01,191120,94833,16
em-ciep-01,191120,94841,17
em-ciep-01,191120,94849,17
em-ciep-01,191120,94857,15
em-ciep-01,191120,94905,16
em-ciep-01,191120,94913,16
em-ciep-01,191120,94921,15
em-ciep-01,191120,94929,14
em-ciep-01,191120,94937,14
em-ciep-01,191120,94945,14
em-ciep-01,191120,94953,16
em-ciep-01,191120,95001,17
em-ciep-01,191120,95009,17
em-ciep-01,191120,95017,16
em-ciep-01,191120,95025,17
em-ciep-01,191120,95033,16
em-ciep-01,191120,95041,16
em-ciep-01,191120,95049,16
em-ciep-01,191120,95057,16
em-ciep-01,191120,95105,16
em-ciep-01,191120,95112,16
em-ciep-01,191120,95120,15
em-ciep-01,191120,95128,14
em-ciep-01,191120,95136,15
em-ciep-01,191120,95144,14
em-ciep-01,191120,95152,14
em-ciep-01,191120,95200,15
em-ciep-01,191120,95208,14
em-ciep-01,191120,95216,14
em-ciep-01,191120,95224,16
em-ciep-01,191120,95232,15
em-ciep-01,191120,95240,16
em-ciep-01,191120,95248,16
em-ciep-01,191120,95256,15
em-ciep-01,191120,95304,14
em-ciep-01,191120,95312,13
em-ciep-01,191120,95320,14
em-ciep-01,191120,95328,15
em-ciep-01,191120,95336,16
em-ciep-01,191120,95344,16
em-ciep-01,191120,95353,15
em-ciep-01,191120,95401,16
em-ciep-01,191120,95409,15
em-ciep-01,191120,95417,15
em-ciep-01,191120,95425,16
em-ciep-01,191120,95433,16
em-ciep-01,191120,95441,15
em-ciep-01,191120,95449,15
em-ciep-01,191120,95457,16
em-ciep-01,191120,95505,16
em-ciep-01,191120,95513,18
em-ciep-01,191120,95521,19
em-ciep-01,191120,95529,16
em-ciep-01,191120,95537,16
em-ciep-01,191120,95545,16
em-ciep-01,191120,95553,16
em-ciep-01,191120,95601,16
em-ciep-01,191120,95609,16
em-ciep-01,191120,95617,15
em-ciep-01,191120,95625,15
em-ciep-01,191120,95632,17
em-ciep-01,191120,95640,14
em-ciep-01,191120,95648,14
em-ciep-01,191120,95656,13
em-ciep-01,191120,95704,13
em-ciep-01,191120,95712,14
em-ciep-01,191120,95720,14
em-ciep-01,191120,95728,16
em-ciep-01,191120,95736,15
em-ciep-01,191120,95744,14
em-ciep-01,191120,95752,14
em-ciep-01,191120,95800,14
em-ciep-01,191120,95808,15
em-ciep-01,191120,95816,16
em-ciep-01,191120,95824,15
em-ciep-01,191120,95832,18
em-ciep-01,191120,95840,21
em-ciep-01,191120,95848,20
em-ciep-01,191120,95856,19
em-ciep-01,191120,95904,17
em-ciep-01,191120,95913,17
em-ciep-01,191120,95921,19
em-ciep-01,191120,95929,20
em-ciep-01,191120,95937,19
em-ciep-01,191120,95945,18
em-ciep-01,191120,95953,17
em-ciep-01,191120,100001,16
em-ciep-01,191120,100009,15
em-ciep-01,191120,100017,14
em-ciep-01,191120,100025,13
em-ciep-01,191120,100033,13
em-ciep-01,191120,100041,12
em-ciep-01,191120,100049,11
em-ciep-01,191120,100057,13
em-ciep-01,191120,100105,13
em-ciep-01,191120,100113,13
em-ciep-01,191120,100121,14
em-ciep-01,191120,100129,12
em-ciep-01,191120,100137,18
em-ciep-01,191120,100145,19
em-ciep-01,191120,100152,18
em-ciep-01,191120,100200,17
em-ciep-01,191120,100208,14
em-ciep-01,191120,100216,14
em-ciep-01,191120,100224,14
em-ciep-01,191120,100232,13
em-ciep-01,191120,100240,12
em-ciep-01,191120,100248,13
em-ciep-01,191120,100256,13
em-ciep-01,191120,100304,14
em-ciep-01,191120,100312,14
em-ciep-01,191120,100320,14
em-ciep-01,191120,100328,16
em-ciep-01,191120,100336,16
em-ciep-01,191120,100344,16
em-ciep-01,191120,100352,16
em-ciep-01,191120,100400,15
em-ciep-01,191120,100408,15
em-ciep-01,191120,100416,15
em-ciep-01,191120,100424,19
em-ciep-01,191120,100433,13
em-ciep-01,191120,100441,18
em-ciep-01,191120,100449,18
em-ciep-01,191120,100457,15
em-ciep-01,191120,100505,16
em-ciep-01,191120,100513,16
em-ciep-01,191120,100521,16
em-ciep-01,191120,100529,16
em-ciep-01,191120,100537,14
em-ciep-01,191120,100545,14
em-ciep-01,191120,100553,14
em-ciep-01,191120,100601,14
em-ciep-01,191120,100609,15
em-ciep-01,191120,100617,16
em-ciep-01,191120,100625,15
em-ciep-01,191120,100633,14
em-ciep-01,191120,100641,14
em-ciep-01,191120,100649,13
em-ciep-01,191120,100657,13
em-ciep-01,191120,100705,13
em-ciep-01,191120,100713,14
em-ciep-01,191120,100721,13
em-ciep-01,191120,100729,13
em-ciep-01,191120,100737,13
em-ciep-01,191120,100745,13
em-ciep-01,191120,100753,13
em-ciep-01,191120,100801,13
em-ciep-01,191120,100809,14
em-ciep-01,191120,100817,13
em-ciep-01,191120,100825,12
em-ciep-01,191120,100833,12
em-ciep-01,191120,100841,12
em-ciep-01,191120,100849,16
em-ciep-01,191120,100857,18
em-ciep-01,191120,100905,18
em-ciep-01,191120,100913,18
em-ciep-01,191120,100921,17
em-ciep-01,191120,100929,17
em-ciep-01,191120,100937,15
em-ciep-01,191120,100945,16
em-ciep-01,191120,100953,15
em-ciep-01,191120,101001,14
em-ciep-01,191120,101009,14
em-ciep-01,191120,101017,13
em-ciep-01,191120,101025,13
em-ciep-01,191120,101033,13
em-ciep-01,191120,101041,13
em-ciep-01,191120,101049,13
em-ciep-01,191120,101057,13
em-ciep-01,191120,101105,13
em-ciep-01,191120,101113,14
em-ciep-01,191120,101121,15
em-ciep-01,191120,101129,14
em-ciep-01,191120,101137,14
em-ciep-01,191120,101145,14
em-ciep-01,191120,101153,14
em-ciep-01,191120,101201,14
em-ciep-01,191120,101209,15
em-ciep-01,191120,101217,14
em-ciep-01,191120,101225,14
em-ciep-01,191120,101232,12
em-ciep-01,191120,101240,14
em-ciep-01,191120,101248,14
em-ciep-01,191120,101256,15
em-ciep-01,191120,101304,15
em-ciep-01,191120,101312,15
em-ciep-01,191120,101320,14
em-ciep-01,191120,101328,13
em-ciep-01,191120,101336,14
em-ciep-01,191120,101344,13
em-ciep-01,191120,101352,14
em-ciep-01,191120,101400,15
em-ciep-01,191120,101408,15
em-ciep-01,191120,101416,14
em-ciep-01,191120,101424,15
em-ciep-01,191120,101432,14
em-ciep-01,191120,101440,13
em-ciep-01,191120,101448,13
em-ciep-01,191120,101456,13
em-ciep-01,191120,101504,13
em-ciep-01,191120,101513,12
em-ciep-01,191120,101521,12
em-ciep-01,191120,101529,13
em-ciep-01,191120,101537,12
em-ciep-01,191120,101545,12
em-ciep-01,191120,101553,11
em-ciep-01,191120,101601,11
em-ciep-01,191120,101609,11
em-ciep-01,191120,101617,11
em-ciep-01,191120,101625,10
em-ciep-01,191120,101633,12
em-ciep-01,191120,101641,12
em-ciep-01,191120,101649,12
em-ciep-01,191120,101657,11
em-ciep-01,191120,101705,11
em-ciep-01,191120,101713,13
em-ciep-01,191120,101721,11
em-ciep-01,191120,101729,12
em-ciep-01,191120,101737,12
em-ciep-01,191120,101745,12
em-ciep-01,191120,101753,13
em-ciep-01,191120,101801,13
