s_codigo_cf,fecha,hora,reg_val
em-ciep-01,191120,124953,3
em-ciep-01,191120,125001,2
em-ciep-01,191120,125009,3
em-ciep-01,191120,125017,3
em-ciep-01,191120,125025,3
em-ciep-01,191120,125033,3
em-ciep-01,191120,125041,3
em-ciep-01,191120,125049,3
em-ciep-01,191120,125057,3
em-ciep-01,191120,125105,3
em-ciep-01,191120,125113,3
em-ciep-01,191120,125121,2
em-ciep-01,191120,125129,3
em-ciep-01,191120,125137,2
em-ciep-01,191120,125145,2
em-ciep-01,191120,125153,2
em-ciep-01,191120,125201,1
em-ciep-01,191120,125209,3
em-ciep-01,191120,125217,2
em-ciep-01,191120,125225,3
em-ciep-01,191120,125233,2
em-ciep-01,191120,125241,4
em-ciep-01,191120,125249,4
em-ciep-01,191120,125257,3
em-ciep-01,191120,125305,3
em-ciep-01,191120,125313,3
em-ciep-01,191120,125321,4
em-ciep-01,191120,125329,4
em-ciep-01,191120,125337,4
em-ciep-01,191120,125345,3
em-ciep-01,191120,125353,3
em-ciep-01,191120,125401,3
em-ciep-01,191120,125409,2
em-ciep-01,191120,125417,3
em-ciep-01,191120,125425,3
em-ciep-01,191120,125433,3
em-ciep-01,191120,125441,3
em-ciep-01,191120,125449,2
em-ciep-01,191120,125457,2
em-ciep-01,191120,125505,2
em-ciep-01,191120,125513,3
em-ciep-01,191120,125521,2
em-ciep-01,191120,125529,3
em-ciep-01,191120,125537,3
em-ciep-01,191120,125545,3
em-ciep-01,191120,125553,3
em-ciep-01,191120,125601,3
em-ciep-01,191120,125609,3
em-ciep-01,191120,125617,3
em-ciep-01,191120,125625,3
em-ciep-01,191120,125633,3
em-ciep-01,191120,125641,3
em-ciep-01,191120,125649,4
em-ciep-01,191120,125657,2
em-ciep-01,191120,125705,4
em-ciep-01,191120,125713,4
em-ciep-01,191120,125721,3
em-ciep-01,191120,125729,2
em-ciep-01,191120,125737,3
em-ciep-01,191120,125745,3
em-ciep-01,191120,125753,4
em-ciep-01,191120,125801,3
em-ciep-01,191120,125809,3
em-ciep-01,191120,125817,4
em-ciep-01,191120,125825,3
em-ciep-01,191120,125833,3
em-ciep-01,191120,125841,3
em-ciep-01,191120,125849,4
em-ciep-01,191120,125857,4
em-ciep-01,191120,125905,4
em-ciep-01,191120,125913,4
em-ciep-01,191120,125921,3
em-ciep-01,191120,125929,2
em-ciep-01,191120,125937,3
em-ciep-01,191120,125945,2
em-ciep-01,191120,125953,3
em-ciep-01,191120,130001,3
em-ciep-01,191120,130009,3
em-ciep-01,191120,130017,3
em-ciep-01,191120,130025,4
