s_codigo_cf,fecha,hora,reg_val
em-ciep-01,191120,41132,2
em-ciep-01,191120,41140,1
em-ciep-01,191120,41148,1
em-ciep-01,191120,41156,1
em-ciep-01,191120,41204,1
em-ciep-01,191120,41212,2
em-ciep-01,191120,41220,3
em-ciep-01,191120,41228,3
em-ciep-01,191120,41236,2
em-ciep-01,191120,41244,1
em-ciep-01,191120,41252,2
em-ciep-01,191120,41300,2
em-ciep-01,191120,41308,2
em-ciep-01,191120,41316,2
em-ciep-01,191120,41324,1
em-ciep-01,191120,41332,1
em-ciep-01,191120,41340,2
em-ciep-01,191120,41348,2
em-ciep-01,191120,41356,2
em-ciep-01,191120,41404,1
em-ciep-01,191120,41412,0
em-ciep-01,191120,41420,2
em-ciep-01,191120,41428,2
em-ciep-01,191120,41436,2
em-ciep-01,191120,41444,2
em-ciep-01,191120,41452,2
em-ciep-01,191120,41500,2
em-ciep-01,191120,41508,2
em-ciep-01,191120,41516,1
em-ciep-01,191120,41524,1
em-ciep-01,191120,41532,1
em-ciep-01,191120,41540,1
em-ciep-01,191120,41548,1
em-ciep-01,191120,41556,1
em-ciep-01,191120,41604,1
em-ciep-01,191120,41612,1
em-ciep-01,191120,41620,1
em-ciep-01,191120,41628,1
em-ciep-01,191120,41636,1
em-ciep-01,191120,41644,1
em-ciep-01,191120,41652,1
em-ciep-01,191120,41700,0
em-ciep-01,191120,41708,0
em-ciep-01,191120,41716,1
em-ciep-01,191120,41724,1
em-ciep-01,191120,41732,1
em-ciep-01,191120,41740,2
em-ciep-01,191120,41748,2
em-ciep-01,191120,41756,2
em-ciep-01,191120,41804,2
em-ciep-01,191120,41812,2
em-ciep-01,191120,41820,2
em-ciep-01,191120,41828,1
em-ciep-01,191120,41836,2
em-ciep-01,191120,41844,1
em-ciep-01,191120,41852,1
em-ciep-01,191120,41900,1
em-ciep-01,191120,41908,1
em-ciep-01,191120,41916,1
em-ciep-01,191120,41924,1
em-ciep-01,191120,41932,2
em-ciep-01,191120,41940,1
em-ciep-01,191120,41948,1
em-ciep-01,191120,41956,1
em-ciep-01,191120,42004,2
em-ciep-01,191120,42012,1
em-ciep-01,191120,42020,2
em-ciep-01,191120,42028,2
em-ciep-01,191120,42036,2
em-ciep-01,191120,42044,2
em-ciep-01,191120,42052,1
em-ciep-01,191120,42100,1
em-ciep-01,191120,42108,1
em-ciep-01,191120,42116,2
em-ciep-01,191120,42124,1
em-ciep-01,191120,42132,1
em-ciep-01,191120,42140,1
em-ciep-01,191120,42148,0
em-ciep-01,191120,42156,0
em-ciep-01,191120,42204,1
em-ciep-01,191120,42212,2
em-ciep-01,191120,42220,2
em-ciep-01,191120,42228,2
em-ciep-01,191120,42236,2
em-ciep-01,191120,42244,1
em-ciep-01,191120,42252,1
em-ciep-01,191120,42300,1
em-ciep-01,191120,42308,1
em-ciep-01,191120,42316,1
em-ciep-01,191120,42324,1
em-ciep-01,191120,42332,1
em-ciep-01,191120,42340,3
em-ciep-01,191120,42348,3
em-ciep-01,191120,42356,2
em-ciep-01,191120,42404,2
em-ciep-01,191120,42412,1
em-ciep-01,191120,42420,1
em-ciep-01,191120,42428,1
em-ciep-01,191120,42436,1
em-ciep-01,191120,42444,2
em-ciep-01,191120,42452,1
em-ciep-01,191120,42500,2
em-ciep-01,191120,42508,2
em-ciep-01,191120,42516,2
em-ciep-01,191120,42524,2
em-ciep-01,191120,42532,2
em-ciep-01,191120,42540,2
em-ciep-01,191120,42548,2
em-ciep-01,191120,42556,1
em-ciep-01,191120,42604,1
em-ciep-01,191120,42612,0
em-ciep-01,191120,42620,0
em-ciep-01,191120,42628,1
em-ciep-01,191120,42636,1
em-ciep-01,191120,42644,1
em-ciep-01,191120,42652,1
em-ciep-01,191120,42700,1
em-ciep-01,191120,42708,2
em-ciep-01,191120,42716,2
em-ciep-01,191120,42724,0
em-ciep-01,191120,42732,1
em-ciep-01,191120,42740,1
em-ciep-01,191120,42748,1
em-ciep-01,191120,42756,1
em-ciep-01,191120,42804,1
em-ciep-01,191120,42812,1
em-ciep-01,191120,42820,1
em-ciep-01,191120,42828,0
em-ciep-01,191120,42836,1
em-ciep-01,191120,42844,1
