s_codigo_cf,fecha,hora,reg_val
em-ciep-01,191120,32837,0
em-ciep-01,191120,32845,1
em-ciep-01,191120,32852,1
em-ciep-01,191120,32900,1
em-ciep-01,191120,32908,2
em-ciep-01,191120,32916,2
em-ciep-01,191120,32924,1
em-ciep-01,191120,32932,1
em-ciep-01,191120,32940,1
em-ciep-01,191120,32948,1
em-ciep-01,191120,32956,1
em-ciep-01,191120,33004,2
em-ciep-01,191120,33012,2
em-ciep-01,191120,33020,2
em-ciep-01,191120,33028,2
em-ciep-01,191120,33036,2
em-ciep-01,191120,33044,1
em-ciep-01,191120,33052,1
em-ciep-01,191120,33100,1
em-ciep-01,191120,33108,1
em-ciep-01,191120,33116,1
em-ciep-01,191120,33124,1
em-ciep-01,191120,33132,2
em-ciep-01,191120,33140,1
em-ciep-01,191120,33148,0
em-ciep-01,191120,33156,0
em-ciep-01,191120,33204,2
em-ciep-01,191120,33212,2
em-ciep-01,191120,33220,2
em-ciep-01,191120,33228,2
em-ciep-01,191120,33236,2
em-ciep-01,191120,33244,2
em-ciep-01,191120,33252,3
em-ciep-01,191120,33300,3
em-ciep-01,191120,33308,2
em-ciep-01,191120,33316,2
em-ciep-01,191120,33324,2
em-ciep-01,191120,33332,0
em-ciep-01,191120,33340,0
em-ciep-01,191120,33348,0
em-ciep-01,191120,33356,1
em-ciep-01,191120,33404,1
em-ciep-01,191120,33412,2
em-ciep-01,191120,33420,2
em-ciep-01,191120,33428,2
em-ciep-01,191120,33436,1
em-ciep-01,191120,33444,1
em-ciep-01,191120,33452,1
em-ciep-01,191120,33500,1
em-ciep-01,191120,33508,1
em-ciep-01,191120,33516,1
em-ciep-01,191120,33524,2
em-ciep-01,191120,33532,2
em-ciep-01,191120,33540,2
em-ciep-01,191120,33548,2
em-ciep-01,191120,33556,2
em-ciep-01,191120,33604,2
em-ciep-01,191120,33612,2
em-ciep-01,191120,33620,1
em-ciep-01,191120,33628,2
em-ciep-01,191120,33636,2
em-ciep-01,191120,33644,1
em-ciep-01,191120,33652,0
em-ciep-01,191120,33700,2
em-ciep-01,191120,33708,2
em-ciep-01,191120,33716,2
em-ciep-01,191120,33724,1
em-ciep-01,191120,33732,1
em-ciep-01,191120,33740,2
em-ciep-01,191120,33748,2
em-ciep-01,191120,33756,2
em-ciep-01,191120,33804,2
em-ciep-01,191120,33812,1
em-ciep-01,191120,33820,1
em-ciep-01,191120,33828,1
em-ciep-01,191120,33836,1
em-ciep-01,191120,33844,1
em-ciep-01,191120,33852,1
em-ciep-01,191120,33900,2
em-ciep-01,191120,33908,2
em-ciep-01,191120,33916,1
em-ciep-01,191120,33924,2
em-ciep-01,191120,33932,0
em-ciep-01,191120,33940,0
em-ciep-01,191120,33948,2
em-ciep-01,191120,33956,2
em-ciep-01,191120,34004,2
em-ciep-01,191120,34012,2
em-ciep-01,191120,34020,2
em-ciep-01,191120,34028,1
em-ciep-01,191120,34036,2
em-ciep-01,191120,34044,1
em-ciep-01,191120,34052,0
em-ciep-01,191120,34100,0
em-ciep-01,191120,34108,0
em-ciep-01,191120,34116,1
em-ciep-01,191120,34124,1
em-ciep-01,191120,34132,0
em-ciep-01,191120,34140,1
em-ciep-01,191120,34148,1
