s_codigo_cf,fecha,hora,reg_val
em-ciep-01,191120,25924,1
em-ciep-01,191120,25916,1
em-ciep-01,191120,25900,1
em-ciep-01,191120,25836,1
em-ciep-01,191120,25804,2
em-ciep-01,191120,25724,2
em-ciep-01,191120,25636,2
em-ciep-01,191120,25540,0
em-ciep-01,191120,25436,1
em-ciep-01,191120,25324,1
em-ciep-01,191120,25204,2
em-ciep-01,191120,25036,2
em-ciep-01,191120,24900,3
em-ciep-01,191120,24716,2
em-ciep-01,191120,24524,2
em-ciep-01,191120,24324,2
em-ciep-01,191120,24116,2
em-ciep-01,191120,23900,1
em-ciep-01,191120,23636,1
em-ciep-01,191120,23404,1
