s_codigo_cf,fecha,hora,reg_val,time_s
em-ciep-01,191120,133513,1,13:35:13
em-ciep-01,191120,133521,2,13:35:21
em-ciep-01,191120,133529,3,13:35:29
em-ciep-01,191120,133537,3,13:35:37
em-ciep-01,191120,133545,3,13:35:45
em-ciep-01,191120,133553,2,13:35:53
em-ciep-01,191120,133601,2,13:36:01
em-ciep-01,191120,133609,2,13:36:09
em-ciep-01,191120,133617,2,13:36:17
em-ciep-01,191120,133625,2,13:36:25
em-ciep-01,191120,133633,2,13:36:33
em-ciep-01,191120,133641,2,13:36:41
em-ciep-01,191120,133649,2,13:36:49
em-ciep-01,191120,133657,2,13:36:57
em-ciep-01,191120,133705,2,13:37:05
em-ciep-01,191120,133713,2,13:37:13
em-ciep-01,191120,133721,2,13:37:21
em-ciep-01,191120,133729,2,13:37:29
em-ciep-01,191120,133737,1,13:37:37
em-ciep-01,191120,133745,1,13:37:45
em-ciep-01,191120,133752,2,13:37:52
em-ciep-01,191120,133800,0,13:38:00
em-ciep-01,191120,133808,2,13:38:08
em-ciep-01,191120,133816,1,13:38:16
em-ciep-01,191120,133824,0,13:38:24
em-ciep-01,191120,133832,0,13:38:32
em-ciep-01,191120,133840,0,13:38:40
em-ciep-01,191120,133848,2,13:38:48
em-ciep-01,191120,133856,2,13:38:56
em-ciep-01,191120,133904,2,13:39:04
em-ciep-01,191120,133912,2,13:39:12
em-ciep-01,191120,133920,2,13:39:20
em-ciep-01,191120,133928,2,13:39:28
em-ciep-01,191120,133936,2,13:39:36
em-ciep-01,191120,133944,2,13:39:44
em-ciep-01,191120,133952,2,13:39:52
em-ciep-01,191120,134000,1,13:40:00
em-ciep-01,191120,134008,1,13:40:08
em-ciep-01,191120,134016,1,13:40:16
em-ciep-01,191120,134024,2,13:40:24
em-ciep-01,191120,134033,2,13:40:33
em-ciep-01,191120,134041,1,13:40:41
em-ciep-01,191120,134049,1,13:40:49
em-ciep-01,191120,134057,1,13:40:57
em-ciep-01,191120,134105,2,13:41:05
em-ciep-01,191120,134113,2,13:41:13
em-ciep-01,191120,134121,1,13:41:21
em-ciep-01,191120,134129,0,13:41:29
em-ciep-01,191120,134137,2,13:41:37
em-ciep-01,191120,134145,1,13:41:45
em-ciep-01,191120,134153,2,13:41:53
em-ciep-01,191120,134201,2,13:42:01
em-ciep-01,191120,134209,1,13:42:09
em-ciep-01,191120,134217,1,13:42:17
em-ciep-01,191120,134225,2,13:42:25
em-ciep-01,191120,134233,2,13:42:33
em-ciep-01,191120,134241,2,13:42:41
em-ciep-01,191120,134249,2,13:42:49
em-ciep-01,191120,134257,2,13:42:57
em-ciep-01,191120,134305,2,13:43:05
em-ciep-01,191120,134312,1,13:43:12
em-ciep-01,191120,134320,2,13:43:20
em-ciep-01,191120,134328,2,13:43:28
em-ciep-01,191120,134336,2,13:43:36
em-ciep-01,191120,134344,2,13:43:44
em-ciep-01,191120,134352,2,13:43:52
em-ciep-01,191120,134400,2,13:44:00
em-ciep-01,191120,134408,1,13:44:08
em-ciep-01,191120,134416,0,13:44:16
em-ciep-01,191120,134424,0,13:44:24
em-ciep-01,191120,134432,0,13:44:32
em-ciep-01,191120,134440,1,13:44:40
em-ciep-01,191120,134448,1,13:44:48
em-ciep-01,191120,134456,2,13:44:56
em-ciep-01,191120,134504,2,13:45:04
em-ciep-01,191120,134512,2,13:45:12
