id,type,time,count,data,sht_t,sht_h,dht_t,dht_h,psm_t,psm_h
em-ciep-01,data,219305,20,"[197, 205, 206, 204, 204, 204, 203, 205, 200, 201, 200, 194, 193, 191, 210, 200, 197, 198, 198, 200]",26.849,46.1855,28.5,41.14,277.2,342.3
em-ciep-01,data,379343,40,"[187, 181, 182, 184, 186, 191, 195, 194, 194, 192, 189, 179, 179, 175, 175, 179, 185, 181, 184, 180]",26.80201,46.42651,28.495,41.37501,277,344.55
em-ciep-01,data,539363,60,"[171, 187, 180, 177, 177, 171, 172, 172, 172, 168, 172, 171, 172, 176, 176, 177, 174, 171, 174, 171]",26.7465,47.0465,28.49,42.06501,276.95,351
