s_codigo_cf,fecha,hora,reg_val,time_s
em-ciep-01,191120,130033,2,13:00:33
em-ciep-01,191120,130041,4,13:00:41
em-ciep-01,191120,130049,5,13:00:49
em-ciep-01,191120,130057,5,13:00:57
em-ciep-01,191120,130105,3,13:01:05
em-ciep-01,191120,130113,4,13:01:13
em-ciep-01,191120,130121,3,13:01:21
em-ciep-01,191120,130129,2,13:01:29
em-ciep-01,191120,130137,2,13:01:37
em-ciep-01,191120,130145,2,13:01:45
em-ciep-01,191120,130153,2,13:01:53
em-ciep-01,191120,130201,3,13:02:01
em-ciep-01,191120,130209,2,13:02:09
em-ciep-01,191120,130217,2,13:02:17
em-ciep-01,191120,130225,1,13:02:25
em-ciep-01,191120,130233,1,13:02:33
em-ciep-01,191120,130241,3,13:02:41
em-ciep-01,191120,130249,3,13:02:49
em-ciep-01,191120,130257,3,13:02:57
em-ciep-01,191120,130305,2,13:03:05
em-ciep-01,191120,130313,3,13:03:13
em-ciep-01,191120,130321,2,13:03:21
em-ciep-01,191120,130329,3,13:03:29
em-ciep-01,191120,130337,3,13:03:37
em-ciep-01,191120,130345,3,13:03:45
em-ciep-01,191120,130353,3,13:03:53
em-ciep-01,191120,130401,2,13:04:01
em-ciep-01,191120,130409,2,13:04:09
em-ciep-01,191120,130417,2,13:04:17
em-ciep-01,191120,130425,3,13:04:25
em-ciep-01,191120,130433,3,13:04:33
em-ciep-01,191120,130441,3,13:04:41
em-ciep-01,191120,130449,3,13:04:49
em-ciep-01,191120,130457,3,13:04:57
em-ciep-01,191120,130505,3,13:05:05
em-ciep-01,191120,130513,3,13:05:13
em-ciep-01,191120,130521,3,13:05:21
em-ciep-01,191120,130529,3,13:05:29
em-ciep-01,191120,130537,3,13:05:37
em-ciep-01,191120,130545,2,13:05:45
em-ciep-01,191120,130552,3,13:05:52
em-ciep-01,191120,130600,3,13:06:00
em-ciep-01,191120,130608,3,13:06:08
em-ciep-01,191120,130616,4,13:06:16
em-ciep-01,191120,130624,3,13:06:24
em-ciep-01,191120,130632,3,13:06:32
em-ciep-01,191120,130640,3,13:06:40
em-ciep-01,191120,130648,3,13:06:48
em-ciep-01,191120,130656,3,13:06:56
em-ciep-01,191120,130704,2,13:07:04
em-ciep-01,191120,130712,2,13:07:12
em-ciep-01,191120,130720,2,13:07:20
em-ciep-01,191120,130728,3,13:07:28
em-ciep-01,191120,130736,2,13:07:36
em-ciep-01,191120,130744,2,13:07:44
em-ciep-01,191120,130752,2,13:07:52
em-ciep-01,191120,130800,4,13:08:00
em-ciep-01,191120,130808,4,13:08:08
em-ciep-01,191120,130816,2,13:08:16
em-ciep-01,191120,130824,3,13:08:24
em-ciep-01,191120,130833,2,13:08:33
em-ciep-01,191120,130841,2,13:08:41
em-ciep-01,191120,130849,2,13:08:49
em-ciep-01,191120,130857,2,13:08:57
em-ciep-01,191120,130905,2,13:09:05
em-ciep-01,191120,130913,2,13:09:13
em-ciep-01,191120,130921,2,13:09:21
em-ciep-01,191120,130929,3,13:09:29
em-ciep-01,191120,130937,3,13:09:37
em-ciep-01,191120,130945,3,13:09:45
em-ciep-01,191120,130953,3,13:09:53
em-ciep-01,191120,131001,1,13:10:01
em-ciep-01,191120,131009,1,13:10:09
em-ciep-01,191120,131017,2,13:10:17
em-ciep-01,191120,131025,2,13:10:25
em-ciep-01,191120,131033,2,13:10:33
em-ciep-01,191120,131041,3,13:10:41
em-ciep-01,191120,131049,2,13:10:49
em-ciep-01,191120,131057,2,13:10:57
em-ciep-01,191120,131105,2,13:11:05
em-ciep-01,191120,131114,2,13:11:14
em-ciep-01,191120,131122,3,13:11:22
em-ciep-01,191120,131130,3,13:11:30
em-ciep-01,191120,131138,2,13:11:38
em-ciep-01,191120,131146,2,13:11:46
em-ciep-01,191120,131154,2,13:11:54
em-ciep-01,191120,131202,2,13:12:02
em-ciep-01,191120,131210,3,13:12:10
em-ciep-01,191120,131218,3,13:12:18
em-ciep-01,191120,131226,2,13:12:26
em-ciep-01,191120,131234,2,13:12:34
em-ciep-01,191120,131242,1,13:12:42
em-ciep-01,191120,131250,1,13:12:50
em-ciep-01,191120,131258,2,13:12:58
em-ciep-01,191120,131306,2,13:13:06
em-ciep-01,191120,131314,3,13:13:14
em-ciep-01,191120,131322,3,13:13:22
em-ciep-01,191120,131330,3,13:13:30
em-ciep-01,191120,131338,3,13:13:38
em-ciep-01,191120,131346,2,13:13:46
em-ciep-01,191120,131353,3,13:13:53
em-ciep-01,191120,131401,3,13:14:01
em-ciep-01,191120,131409,3,13:14:09
em-ciep-01,191120,131417,3,13:14:17
em-ciep-01,191120,131425,2,13:14:25
em-ciep-01,191120,131433,2,13:14:33
em-ciep-01,191120,131441,2,13:14:41
em-ciep-01,191120,131449,2,13:14:49
em-ciep-01,191120,131457,3,13:14:57
em-ciep-01,191120,131505,3,13:15:05
em-ciep-01,191120,131513,3,13:15:13
em-ciep-01,191120,131521,2,13:15:21
em-ciep-01,191120,131529,2,13:15:29
em-ciep-01,191120,131537,2,13:15:37
em-ciep-01,191120,131545,2,13:15:45
em-ciep-01,191120,131553,2,13:15:53
em-ciep-01,191120,131601,2,13:16:01
em-ciep-01,191120,131609,3,13:16:09
em-ciep-01,191120,131617,3,13:16:17
em-ciep-01,191120,131625,3,13:16:25
em-ciep-01,191120,131632,2,13:16:32
em-ciep-01,191120,131640,3,13:16:40
em-ciep-01,191120,131648,3,13:16:48
em-ciep-01,191120,131656,3,13:16:56
em-ciep-01,191120,131704,1,13:17:04
em-ciep-01,191120,131712,2,13:17:12
em-ciep-01,191120,131720,2,13:17:20
em-ciep-01,191120,131728,1,13:17:28
em-ciep-01,191120,131736,2,13:17:36
em-ciep-01,191120,131744,3,13:17:44
