s_codigo_cf,fecha,hora,reg_val,time_s
em-ciep-01,191120,175945,0,17:59:45
em-ciep-01,191120,175953,0,17:59:53
em-ciep-01,191120,180001,0,18:00:01
em-ciep-01,191120,180009,0,18:00:09
em-ciep-01,191120,180017,0,18:00:17
em-ciep-01,191120,180025,0,18:00:25
em-ciep-01,191120,180033,0,18:00:33
em-ciep-01,191120,180041,0,18:00:41
em-ciep-01,191120,180049,0,18:00:49
em-ciep-01,191120,180057,0,18:00:57
em-ciep-01,191120,180105,0,18:01:05
em-ciep-01,191120,180113,0,18:01:13
em-ciep-01,191120,180121,0,18:01:21
em-ciep-01,191120,180129,0,18:01:29
em-ciep-01,191120,180137,0,18:01:37
em-ciep-01,191120,180145,0,18:01:45
em-ciep-01,191120,180153,0,18:01:53
em-ciep-01,191120,180201,0,18:02:01
em-ciep-01,191120,180209,0,18:02:09
em-ciep-01,191120,180217,0,18:02:17
em-ciep-01,191120,180225,0,18:02:25
em-ciep-01,191120,180233,0,18:02:33
em-ciep-01,191120,180241,0,18:02:41
em-ciep-01,191120,180249,0,18:02:49
em-ciep-01,191120,180257,0,18:02:57
em-ciep-01,191120,180305,0,18:03:05
em-ciep-01,191120,180313,0,18:03:13
em-ciep-01,191120,180321,0,18:03:21
em-ciep-01,191120,180329,0,18:03:29
em-ciep-01,191120,180337,0,18:03:37
em-ciep-01,191120,180345,0,18:03:45
em-ciep-01,191120,180353,0,18:03:53
em-ciep-01,191120,180401,0,18:04:01
em-ciep-01,191120,180409,0,18:04:09
em-ciep-01,191120,180417,0,18:04:17
em-ciep-01,191120,180425,0,18:04:25
em-ciep-01,191120,180433,0,18:04:33
em-ciep-01,191120,180441,0,18:04:41
em-ciep-01,191120,180449,0,18:04:49
em-ciep-01,191120,180457,0,18:04:57
em-ciep-01,191120,180505,0,18:05:05
em-ciep-01,191120,180513,0,18:05:13
em-ciep-01,191120,180521,0,18:05:21
em-ciep-01,191120,180529,0,18:05:29
em-ciep-01,191120,180537,0,18:05:37
em-ciep-01,191120,180545,0,18:05:45
em-ciep-01,191120,180553,0,18:05:53
em-ciep-01,191120,180601,0,18:06:01
em-ciep-01,191120,180609,0,18:06:09
em-ciep-01,191120,180617,0,18:06:17
em-ciep-01,191120,180625,0,18:06:25
em-ciep-01,191120,180633,0,18:06:33
em-ciep-01,191120,180641,0,18:06:41
em-ciep-01,191120,180649,0,18:06:49
em-ciep-01,191120,180657,0,18:06:57
em-ciep-01,191120,180705,0,18:07:05
em-ciep-01,191120,180713,0,18:07:13
em-ciep-01,191120,180721,0,18:07:21
em-ciep-01,191120,180729,0,18:07:29
em-ciep-01,191120,180737,0,18:07:37
em-ciep-01,191120,180745,0,18:07:45
em-ciep-01,191120,180753,0,18:07:53
em-ciep-01,191120,180801,0,18:08:01
em-ciep-01,191120,180809,0,18:08:09
em-ciep-01,191120,180817,0,18:08:17
em-ciep-01,191120,180825,0,18:08:25
em-ciep-01,191120,180833,0,18:08:33
em-ciep-01,191120,180841,0,18:08:41
em-ciep-01,191120,180849,0,18:08:49
em-ciep-01,191120,180857,0,18:08:57
em-ciep-01,191120,180905,0,18:09:05
em-ciep-01,191120,180913,0,18:09:13
em-ciep-01,191120,180921,0,18:09:21
em-ciep-01,191120,180929,0,18:09:29
em-ciep-01,191120,180937,0,18:09:37
em-ciep-01,191120,180945,0,18:09:45
em-ciep-01,191120,180953,0,18:09:53
em-ciep-01,191120,181001,0,18:10:01
em-ciep-01,191120,181009,0,18:10:09
em-ciep-01,191120,181017,0,18:10:17
em-ciep-01,191120,181025,0,18:10:25
em-ciep-01,191120,181033,0,18:10:33
em-ciep-01,191120,181041,0,18:10:41
em-ciep-01,191120,181049,0,18:10:49
em-ciep-01,191120,181057,0,18:10:57
em-ciep-01,191120,181105,0,18:11:05
em-ciep-01,191120,181113,0,18:11:13
em-ciep-01,191120,181121,0,18:11:21
em-ciep-01,191120,181129,0,18:11:29
em-ciep-01,191120,181137,0,18:11:37
em-ciep-01,191120,181145,0,18:11:45
em-ciep-01,191120,181153,0,18:11:53
em-ciep-01,191120,181201,0,18:12:01
em-ciep-01,191120,181209,0,18:12:09
em-ciep-01,191120,181217,0,18:12:17
em-ciep-01,191120,181225,0,18:12:25
em-ciep-01,191120,181233,0,18:12:33
em-ciep-01,191120,181241,0,18:12:41
em-ciep-01,191120,181249,0,18:12:49
em-ciep-01,191120,181257,0,18:12:57
em-ciep-01,191120,181305,0,18:13:05
em-ciep-01,191120,181313,0,18:13:13
em-ciep-01,191120,181321,0,18:13:21
em-ciep-01,191120,181329,0,18:13:29
